title,description,category,resolution,priority,request_type
rest call request,rest call unresponsive; deployment stalling for the team; rest call unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call alert,tracking rest call delayed; exception thrown failing in one department; rest call unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
null pointer exception request,null pointer exception erratic; code regression unstable across several users; null pointer exception unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice fault,escalated because microservice degraded; exception thrown stalling after the upgrade; microservice unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint report,noticed that api endpoint unresponsive; backend intermittent in one department; api endpoint degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload case,noticed that payload unresponsive; frontend unstable in a branch office; payload failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown request,tracking exception thrown intermittent; rest call unstable during the night shift; exception thrown recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend issue,monitoring flagged backend flapping; build pipeline degraded after the upgrade; backend unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline issue,escalated because build pipeline unresponsive; deployment flapping in a branch office; build pipeline intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline fault,noticed that build pipeline recurring; microservice failing at multiple sites; build pipeline unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
null pointer exception issue,tracking null pointer exception erratic; rest call unresponsive in a branch office; null pointer exception unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload case,we are seeing payload unresponsive; stack trace stalling at multiple sites; payload recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint alert,tracking api endpoint erratic; frontend recurring after the upgrade; api endpoint stalling,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback request,users report rollback intermittent; backend intermittent after the upgrade; rollback recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend ticket,backend degraded; payload recurring at multiple sites; backend degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown alert,escalated because exception thrown unstable; backend stalling for the team; exception thrown delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call case,escalated because rest call recurring; deployment erratic across several users; rest call degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
frontend fault,frontend flapping; api endpoint erratic after the upgrade; frontend recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call case,rest call failing; microservice flapping at multiple sites; rest call unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown issue,exception thrown flapping; stack trace stalling for the team; exception thrown degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
frontend ticket,tracking frontend flapping; null pointer exception unstable in production; frontend unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression request,monitoring flagged code regression flapping; frontend flapping in production; code regression degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
stack trace fault,we are seeing stack trace flapping; api endpoint delayed across several users; stack trace unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback ticket,tracking rollback erratic; null pointer exception delayed at multiple sites; rollback flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
deployment ticket,users report deployment unstable; frontend unresponsive across several users; deployment intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback report,we are seeing rollback recurring; rest call failing for the team; rollback intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
stack trace issue,we are seeing stack trace erratic; exception thrown recurring across several users; stack trace failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression alert,monitoring flagged code regression delayed; frontend intermittent in a branch office; code regression failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
deployment fault,noticed that deployment stalling; payload recurring at multiple sites; deployment recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice case,ongoing microservice delayed; api endpoint intermittent in a branch office; microservice flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
null pointer exception fault,escalated because null pointer exception unstable; backend flapping across several users; null pointer exception delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline case,tracking build pipeline flapping; rest call delayed during the night shift; build pipeline stalling,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint report,we are seeing api endpoint unstable; microservice delayed at multiple sites; api endpoint erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice alert,tracking microservice erratic; payload failing during the night shift; microservice delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend alert,we are seeing backend flapping; rollback intermittent in production; backend unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call report,we are seeing rest call stalling; stack trace degraded across several users; rest call delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice case,users report microservice recurring; code regression recurring at multiple sites; microservice failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback case,we are seeing rollback delayed; exception thrown intermittent in production; rollback erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice alert,we are seeing microservice intermittent; null pointer exception degraded at multiple sites; microservice erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression fault,escalated because code regression stalling; deployment unresponsive in production; code regression flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice ticket,users report microservice delayed; rollback erratic after the upgrade; microservice erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback alert,rollback stalling; build pipeline stalling at multiple sites; rollback flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload issue,tracking payload unresponsive; api endpoint delayed in a branch office; payload recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint ticket,we are seeing api endpoint intermittent; deployment flapping after the upgrade; api endpoint recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend case,escalated because backend stalling; rest call unresponsive after the upgrade; backend erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint request,escalated because api endpoint stalling; payload unstable in one department; api endpoint unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend issue,backend delayed; rest call failing across several users; backend degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression request,code regression intermittent; api endpoint degraded at multiple sites; code regression unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend ticket,escalated because backend failing; frontend recurring after the upgrade; backend recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
null pointer exception fault,null pointer exception delayed; rollback flapping in a branch office; null pointer exception failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend issue,users report backend delayed; microservice flapping for the team; backend unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend alert,ongoing backend intermittent; api endpoint recurring in production; backend delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice issue,we are seeing microservice stalling; code regression flapping at multiple sites; microservice erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice request,tracking microservice degraded; rest call failing during the night shift; microservice degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression report,users report code regression failing; backend failing after the upgrade; code regression unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression request,code regression stalling; rest call recurring at multiple sites; code regression degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
deployment fault,users report deployment erratic; payload unresponsive in a branch office; deployment failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend case,backend failing; exception thrown unstable at multiple sites; backend stalling,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown request,monitoring flagged exception thrown flapping; api endpoint degraded at multiple sites; exception thrown unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown case,monitoring flagged exception thrown delayed; code regression stalling for the team; exception thrown flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend ticket,we are seeing backend failing; payload degraded for the team; backend flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline request,noticed that build pipeline recurring; exception thrown recurring across several users; build pipeline flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call request,noticed that rest call erratic; microservice erratic during the night shift; rest call intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression case,ongoing code regression recurring; api endpoint flapping at multiple sites; code regression degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload issue,monitoring flagged payload unresponsive; stack trace unstable during the night shift; payload flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline issue,escalated because build pipeline degraded; rollback failing in production; build pipeline unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback issue,tracking rollback unstable; microservice degraded after the upgrade; rollback unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend fault,users report backend flapping; rollback degraded in production; backend failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend fault,backend recurring; stack trace stalling in a branch office; backend flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression request,monitoring flagged code regression degraded; rollback delayed during the night shift; code regression intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint ticket,monitoring flagged api endpoint unresponsive; rollback unresponsive for the team; api endpoint erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint ticket,users report api endpoint flapping; code regression unresponsive in production; api endpoint erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice case,we are seeing microservice erratic; deployment recurring after the upgrade; microservice recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
stack trace ticket,tracking stack trace failing; api endpoint flapping in production; stack trace stalling,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
frontend report,noticed that frontend recurring; build pipeline unstable at multiple sites; frontend unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
frontend alert,escalated because frontend flapping; build pipeline stalling at multiple sites; frontend unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline ticket,we are seeing build pipeline flapping; code regression stalling in one department; build pipeline degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call issue,ongoing rest call erratic; backend intermittent for the team; rest call erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback case,we are seeing rollback erratic; code regression unstable in a branch office; rollback unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call case,escalated because rest call flapping; api endpoint flapping after the upgrade; rest call degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown fault,exception thrown delayed; code regression flapping in production; exception thrown delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload fault,noticed that payload degraded; backend degraded in one department; payload intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call issue,tracking rest call recurring; exception thrown flapping for the team; rest call stalling,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
null pointer exception ticket,we are seeing null pointer exception intermittent; stack trace delayed after the upgrade; null pointer exception delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline report,noticed that build pipeline recurring; code regression delayed across several users; build pipeline unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
frontend ticket,monitoring flagged frontend flapping; stack trace degraded in production; frontend degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice report,noticed that microservice intermittent; build pipeline delayed after the upgrade; microservice erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
stack trace case,ongoing stack trace erratic; frontend stalling across several users; stack trace degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback issue,monitoring flagged rollback failing; payload stalling at multiple sites; rollback degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend fault,tracking backend unstable; api endpoint stalling after the upgrade; backend delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
deployment case,tracking deployment unstable; code regression unstable across several users; deployment flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload alert,tracking payload erratic; exception thrown recurring across several users; payload flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload alert,users report payload unresponsive; deployment degraded in one department; payload recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline alert,escalated because build pipeline erratic; rollback degraded in production; build pipeline unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown fault,noticed that exception thrown flapping; code regression recurring in production; exception thrown degraded,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
frontend alert,users report frontend unresponsive; exception thrown recurring in one department; frontend recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline alert,noticed that build pipeline unresponsive; stack trace degraded in one department; build pipeline unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend report,tracking backend recurring; code regression unstable during the night shift; backend recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint case,monitoring flagged api endpoint delayed; frontend unstable after the upgrade; api endpoint delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice alert,microservice stalling; api endpoint erratic in production; microservice recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
null pointer exception alert,escalated because null pointer exception intermittent; frontend flapping during the night shift; null pointer exception delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call report,users report rest call erratic; frontend erratic across several users; rest call unstable,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback ticket,ongoing rollback failing; deployment unresponsive in one department; rollback intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rollback fault,users report rollback erratic; frontend delayed for the team; rollback delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
microservice request,escalated because microservice stalling; backend delayed at multiple sites; microservice failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression case,escalated because code regression intermittent; stack trace unresponsive in a branch office; code regression failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline report,noticed that build pipeline degraded; stack trace intermittent during the night shift; build pipeline intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint alert,noticed that api endpoint intermittent; exception thrown intermittent in a branch office; api endpoint failing,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
primary replica alert,ongoing primary replica stalling; schema migration unresponsive for the team; primary replica unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock issue,we are seeing deadlock unresponsive; transaction rollback unstable in one department; deadlock unstable,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure request,monitoring flagged stored procedure intermittent; table lock flapping in a branch office; stored procedure erratic,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
vacuum report,tracking vacuum erratic; transaction rollback degraded in a branch office; vacuum degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure report,stored procedure erratic; table lock stalling for the team; stored procedure recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure case,tracking stored procedure stalling; slow query degraded at multiple sites; stored procedure delayed,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
transaction rollback report,noticed that transaction rollback unresponsive; replication lag stalling in one department; transaction rollback unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
primary replica request,users report primary replica stalling; slow query failing after the upgrade; primary replica failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan request,query plan unstable; missing index erratic during the night shift; query plan erratic,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
replication lag case,users report replication lag unresponsive; deadlock unstable in production; replication lag unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool ticket,ongoing connection pool unstable; missing index failing at multiple sites; connection pool flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
transaction rollback issue,escalated because transaction rollback degraded; vacuum failing for the team; transaction rollback intermittent,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock alert,deadlock delayed; primary replica erratic in production; deadlock failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index case,we are seeing missing index unstable; transaction rollback erratic during the night shift; missing index degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index issue,monitoring flagged missing index stalling; stored procedure stalling during the night shift; missing index unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock case,deadlock unstable; vacuum degraded in one department; deadlock delayed,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
slow query case,escalated because slow query intermittent; table lock unstable at multiple sites; slow query flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index alert,noticed that missing index degraded; stored procedure recurring during the night shift; missing index flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
table lock alert,ongoing table lock unresponsive; deadlock degraded across several users; table lock intermittent,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
vacuum alert,we are seeing vacuum delayed; connection pool recurring during the night shift; vacuum delayed,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool issue,users report connection pool intermittent; vacuum erratic at multiple sites; connection pool flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
slow query fault,noticed that slow query degraded; vacuum delayed in production; slow query failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock request,monitoring flagged deadlock recurring; transaction rollback flapping after the upgrade; deadlock stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index fault,we are seeing missing index degraded; query plan failing across several users; missing index unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan fault,tracking query plan unresponsive; transaction rollback delayed during the night shift; query plan flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index fault,ongoing missing index delayed; vacuum recurring for the team; missing index unstable,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool fault,noticed that connection pool intermittent; missing index unstable during the night shift; connection pool delayed,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
primary replica request,we are seeing primary replica degraded; vacuum unresponsive across several users; primary replica flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
replication lag report,replication lag degraded; missing index erratic in a branch office; replication lag recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
vacuum case,monitoring flagged vacuum unstable; stored procedure degraded across several users; vacuum failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock ticket,monitoring flagged deadlock delayed; slow query delayed in production; deadlock unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock case,tracking deadlock degraded; connection pool failing in a branch office; deadlock stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
schema migration ticket,escalated because schema migration recurring; missing index degraded in production; schema migration erratic,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan request,monitoring flagged query plan recurring; slow query unstable in a branch office; query plan stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index case,missing index degraded; primary replica intermittent across several users; missing index delayed,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan issue,monitoring flagged query plan erratic; replication lag stalling in one department; query plan flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan request,we are seeing query plan flapping; schema migration intermittent during the night shift; query plan stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure ticket,users report stored procedure degraded; table lock recurring across several users; stored procedure stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock request,users report deadlock delayed; replication lag failing after the upgrade; deadlock flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool ticket,connection pool degraded; stored procedure delayed in production; connection pool erratic,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
replication lag fault,escalated because replication lag unresponsive; connection pool recurring in production; replication lag intermittent,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
primary replica request,monitoring flagged primary replica intermittent; slow query delayed across several users; primary replica intermittent,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
transaction rollback alert,noticed that transaction rollback delayed; query plan stalling across several users; transaction rollback failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
vacuum request,we are seeing vacuum unresponsive; transaction rollback degraded during the night shift; vacuum intermittent,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
slow query alert,we are seeing slow query unresponsive; query plan degraded during the night shift; slow query failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure report,monitoring flagged stored procedure degraded; table lock recurring during the night shift; stored procedure degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index fault,we are seeing missing index failing; primary replica flapping in a branch office; missing index unstable,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool request,escalated because connection pool flapping; table lock stalling in a branch office; connection pool stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
replication lag alert,monitoring flagged replication lag unstable; missing index recurring for the team; replication lag degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock report,noticed that deadlock stalling; slow query flapping at multiple sites; deadlock degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
slow query report,monitoring flagged slow query unresponsive; connection pool degraded in a branch office; slow query degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure issue,users report stored procedure intermittent; primary replica stalling at multiple sites; stored procedure unstable,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
table lock fault,monitoring flagged table lock failing; transaction rollback unresponsive across several users; table lock unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
transaction rollback fault,escalated because transaction rollback delayed; slow query intermittent for the team; transaction rollback degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock issue,we are seeing deadlock failing; missing index intermittent during the night shift; deadlock unstable,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
table lock case,ongoing table lock degraded; vacuum recurring for the team; table lock recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan alert,noticed that query plan erratic; missing index unstable for the team; query plan degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan issue,tracking query plan unstable; slow query recurring after the upgrade; query plan flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan case,we are seeing query plan flapping; transaction rollback unstable in one department; query plan stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool report,we are seeing connection pool unstable; stored procedure failing in a branch office; connection pool recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
slow query fault,ongoing slow query erratic; transaction rollback failing during the night shift; slow query degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock alert,deadlock delayed; transaction rollback intermittent during the night shift; deadlock delayed,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure report,noticed that stored procedure delayed; table lock erratic during the night shift; stored procedure stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool issue,connection pool stalling; deadlock recurring in a branch office; connection pool intermittent,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan fault,monitoring flagged query plan stalling; slow query recurring for the team; query plan intermittent,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
replication lag alert,we are seeing replication lag unresponsive; vacuum delayed during the night shift; replication lag failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
table lock alert,noticed that table lock intermittent; deadlock recurring across several users; table lock stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure fault,we are seeing stored procedure recurring; table lock unstable after the upgrade; stored procedure recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
schema migration alert,schema migration erratic; connection pool failing at multiple sites; schema migration degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
primary replica issue,noticed that primary replica delayed; replication lag erratic at multiple sites; primary replica failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock case,deadlock unstable; table lock stalling in one department; deadlock failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
primary replica request,users report primary replica degraded; deadlock delayed in production; primary replica stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure report,ongoing stored procedure recurring; vacuum degraded in production; stored procedure stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock case,monitoring flagged deadlock flapping; stored procedure erratic in production; deadlock stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
replication lag fault,ongoing replication lag unstable; vacuum flapping in one department; replication lag unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock case,deadlock recurring; query plan flapping in one department; deadlock recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
primary replica request,users report primary replica recurring; table lock intermittent after the upgrade; primary replica recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock case,noticed that deadlock degraded; table lock intermittent in one department; deadlock stalling,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
vacuum request,ongoing vacuum stalling; missing index erratic at multiple sites; vacuum failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
